Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
116.128.169.159,183.94.22.36,6,443,53822,450,120.832
182.61.62.130,115.156.141.178,6,443,48778,2696,120.832
58.19.27.31,113.56.189.141,6,58325,443,1031,120.832
111.172.199.16,115.156.143.79,6,443,50992,302,120.833
115.156.141.9,120.253.255.161,6,4982,443,404,120.833
211.67.22.240,182.61.200.16,6,4591,443,427,120.833
43.141.9.123,122.205.3.106,6,443,42324,46117,2442.304
27.44.202.123,183.94.22.52,17,8080,57705,2788,2442.318
220.181.33.216,115.156.143.223,6,443,50407,3237,2442.558
113.56.189.63,183.95.73.58,6,443,43156,4581,2443.323
115.156.143.230,103.37.152.48,6,35300,443,1566,2443.327
115.156.142.236,121.194.11.72,6,34564,443,1981,2443.401
115.156.144.209,222.247.4.167,17,42987,39637,118972,2443.422
112.80.183.81,183.95.73.42,6,5223,55758,9894,2443.477
223.5.5.5,115.156.144.54,6,443,10338,1298,2443.552
115.156.142.236,221.131.165.141,6,4507,20006,1420,2443.567
115.156.144.12,222.192.187.248,6,46974,443,480,2443.962
183.95.73.72,119.36.224.12,6,52976,443,927,2444.226
115.156.143.114,112.19.142.248,6,52970,443,2104,2444.372
203.119.144.238,115.156.144.9,6,443,56313,384,2444.419
202.114.138.209,59.78.211.251,6,43808,443,3694,2444.554
211.67.31.215,36.150.27.104,6,50753,18101,719,2444.712
183.95.73.33,58.243.203.41,6,42610,443,2100,2444.858
183.94.22.41,150.171.27.11,6,57207,443,2954,2444.922
115.156.144.140,40.83.50.95,6,4046,443,15206,2445.122
182.50.8.224,183.94.22.80,6,40320,37320,247,2445.203
112.84.131.83,183.94.22.31,6,443,6642,120,2445.345
183.94.22.81,157.255.246.60,17,44955,8024,222,2445.471
58.243.203.41,183.94.22.83,6,443,57934,10709,2445.626
157.255.246.41,183.95.73.68,17,8026,22082,1136,2445.635
183.94.22.10,139.226.24.248,17,43590,49348,169,2445.747
115.156.141.211,49.239.194.34,17,30700,31597,97192,2445.777
218.106.117.236,153.3.46.103,6,57914,443,1614,2445.792
103.28.54.101,183.94.22.57,6,443,61714,894,2445.828
112.123.185.145,183.94.22.48,17,51994,39051,1852,2446.009
115.156.143.189,121.194.11.72,6,54972,443,2668,2446.098
49.4.47.189,115.156.144.59,6,443,58072,2251,2446.107
157.255.220.178,183.95.73.79,6,443,33813,1680,2446.617
115.156.158.133,36.137.212.238,6,57897,30801,5191,2446.679
58.19.27.68,122.193.110.19,17,41539,63541,133057,2446.744
218.197.241.129,182.110.128.46,17,46029,50520,3587,2446.813
120.232.217.148,218.106.117.236,6,30000,55950,1275,2446.888
153.3.237.52,183.95.73.20,6,443,58932,1080,2447.048
183.95.73.31,157.148.45.218,6,12446,80,1646,2447.564
58.19.6.176,183.95.73.30,17,32818,49947,7676,2447.987
183.94.22.85,116.132.223.206,6,44434,1500,2278,2448.024
129.211.73.46,222.20.97.159,6,7088,37996,432,2448.112
218.106.117.232,112.132.119.67,6,38608,80,300,2448.759
218.106.117.234,221.194.120.240,17,13441,19831,968,2448.791
115.156.144.137,210.42.68.14,6,33288,80,848,2448.857
