Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
112.19.142.236,115.156.134.10,6,443,65481,2011,861.874
1.95.21.34,115.156.142.236,6,443,56054,1241,5803.361
115.156.144.231,120.48.240.156,6,38736,443,1934,88.751
58.19.27.59,122.188.5.23,6,6795,443,2504,74.601
51.158.151.99,183.94.22.52,6,45000,9076,450042,2995.754
36.148.41.66,183.94.22.40,17,37451,51294,39968,4024.521
115.156.141.164,122.150.173.233,17,30972,7396,3910,3568.389
115.156.144.54,106.225.242.94,6,50729,443,1498,177.983
120.220.145.116,115.156.144.11,6,443,50684,61348,1159.275
36.249.88.95,183.95.73.85,6,80,53650,1740583,10436.259
122.191.18.197,183.95.73.45,6,443,54186,7832,61.234
106.14.49.5,115.156.143.9,6,443,6776,1888,457.666
183.95.73.89,120.52.83.74,6,53028,443,14238,1785.728
183.95.73.73,58.19.1.125,17,8721,8157,2470,6471.088
222.20.103.20,117.190.80.31,6,53564,80,3054,180.241
110.242.70.175,183.94.22.96,6,443,56854,6446,1837.377
218.106.117.236,112.132.119.64,6,49390,443,1198,101.68
115.156.143.211,36.156.60.144,6,7134,443,2012,113.915
183.95.73.15,220.202.7.95,6,54795,443,3160,113.429
116.162.34.80,183.95.73.81,6,443,40820,2844,165.997
116.62.70.225,183.95.73.14,6,3724,6155,6986,3772.132
23.48.229.154,115.156.143.48,6,443,56688,5495,168.151
183.94.22.56,183.94.78.222,6,52102,5148,1412,225.511
23.202.35.210,115.156.169.25,6,443,25138,1920,7208.9
115.156.142.5,202.89.233.101,6,3252,443,1698,84.691
115.156.144.64,8.212.43.229,6,50741,443,3180,11376.426
112.10.244.193,115.156.144.64,17,21269,55356,2425,3258.169
115.156.134.29,210.42.68.14,6,59884,443,3136,5318.997
210.42.68.6,115.156.141.83,6,80,58852,99783,26.282
210.42.68.13,115.156.144.200,6,80,49920,37290,13.68
122.205.109.41,115.156.141.46,6,80,43536,10154,19.123
220.202.20.244,183.95.73.60,6,443,52564,3322,357.151
116.177.224.238,183.94.22.47,6,80,50292,9036,38.673
113.56.147.11,183.95.73.50,6,443,54715,4974,160.051
183.94.22.71,27.44.123.42,6,58470,8081,1544,25.074
115.156.144.250,123.184.61.219,17,19344,27563,2680,600.918
111.206.101.98,183.94.22.72,6,443,42606,3118,71.164
221.194.175.44,183.95.73.34,6,443,37708,1358,28.792
36.158.99.102,115.156.144.80,6,9994,4593,4482,1.112
218.106.117.230,60.24.210.154,17,9494,4363,10080,50.959
58.20.209.159,183.94.22.52,6,80,48086,36204,1.428
115.156.144.25,39.108.131.89,6,34796,443,6262,464.131
54.176.189.146,115.156.144.58,17,21009,3659,22732,14478.65
115.156.142.13,49.7.150.130,6,51807,443,1003,65.489
49.4.44.116,183.95.73.90,6,443,49580,1355,176.908
122.205.15.92,58.205.220.12,6,64757,80,1266,230.948
115.156.143.36,113.240.96.111,6,52212,443,1010,196.614
111.4.108.163,115.156.143.78,6,60025,54299,2369,313.502
58.19.27.65,122.189.171.23,6,6763,80,11710,3994.396
119.97.181.246,183.95.73.77,6,80,61201,10406792,9215.932
115.156.144.227,42.186.198.151,17,35830,12030,7500,4504.741
119.36.175.62,183.95.73.18,6,80,56955,33695,229.833
119.97.181.246,218.106.117.236,6,80,6957,42026,5971.571
183.94.22.64,110.17.25.110,17,6295,19581,2676,5190.904
222.192.187.246,115.156.143.9,6,443,4841,4548,77.289
121.194.11.72,115.156.143.210,6,443,52050,2952,170.62
112.86.230.217,183.94.22.45,17,10229,55531,4690,9726.259
218.106.117.236,153.3.149.95,6,52294,14000,5698,434.946
36.212.42.62,218.106.117.236,6,21756,49361,10532,10.473
183.94.22.83,43.141.50.31,6,43386,80,2946,2128.737
183.95.73.27,157.148.63.92,6,41186,443,1397,6097.811
183.95.73.38,221.15.71.66,6,56511,443,2068,2136.481
115.156.144.20,119.36.63.230,6,3955,80,2018,441.406
8.134.241.67,183.95.73.34,6,443,44166,1208,2095.119
43.145.41.107,115.156.144.186,6,443,59842,1809,1126.787
52.123.128.14,115.156.216.136,6,443,28025,17045,545.411
119.36.175.53,183.95.73.15,6,443,52288,48100,51.984
81.71.57.207,218.106.117.231,17,8000,29991,3026,5145.972
183.95.73.35,116.172.148.16,6,33792,443,3133,370.043
123.6.129.176,183.94.22.66,6,443,57710,4494,164.256
42.48.178.168,183.94.22.81,17,54593,34128,11111,6563.309
58.19.27.81,116.147.17.39,6,40218,443,1746,36.413
115.156.143.32,103.63.160.119,6,35534,443,2876,104.338
115.156.144.230,49.232.87.226,6,54436,443,1253,61.224
119.97.181.246,115.156.141.146,6,80,2460,13644,210.102
101.201.70.77,115.156.157.239,6,443,63796,2418,116.247
183.95.73.15,113.57.1.203,6,44408,8000,1642,70.063
115.156.144.193,106.15.74.19,6,44970,443,9944,3171.715
222.192.187.240,115.156.142.177,6,443,51034,2503,42.905
222.20.87.12,175.27.57.28,6,59441,80,1005,56.132
220.194.116.80,183.95.73.98,6,443,57694,1238,91.624
122.205.109.41,115.156.144.146,6,443,47136,13849,3487.706
222.192.187.246,115.156.142.81,6,80,6138,123734,2148.523
220.173.139.132,115.156.144.154,17,17280,31156,12462,9976.223
113.194.50.188,218.106.117.234,6,80,49612,59103,106.7
121.194.11.72,115.156.142.71,6,443,35624,2134,156.133
58.205.220.230,115.156.141.112,6,443,56701,3869,8.366
118.72.56.81,183.94.22.64,6,32929,53368,14106,576.076
218.106.117.236,103.37.155.17,6,46862,443,1253,32.801
58.49.156.78,218.106.117.236,6,80,37923,1067,3.024
115.156.142.149,117.122.208.16,6,55543,80,11271,993.38
115.156.142.177,47.97.64.97,6,4423,443,5731,5074.121
183.95.73.55,58.243.156.61,17,50502,23929,79143,237.446
218.12.77.99,183.95.73.29,6,443,6634,3028,5.982
119.98.77.30,211.67.29.98,17,64313,52194,6866,8535.503
43.141.131.73,115.156.141.153,6,80,19232,26497,4816.342
115.156.141.121,60.204.2.9,6,53635,443,2518,8579.61
1.95.20.195,115.156.143.17,17,7070,48536,2404,5999.934
121.194.11.72,115.156.142.213,6,443,36132,3362,44.395
115.156.142.48,17.171.47.23,6,51788,443,2350,114.64
115.156.144.201,49.7.105.208,6,49620,443,1427,107.719
183.95.73.35,58.19.4.173,6,40518,3076,1422,2084.065
58.49.156.81,218.197.232.187,6,80,62336,13470,1009.152
183.95.73.79,119.45.2.92,17,49596,443,5570,132.68
183.95.73.71,114.250.63.33,17,60257,443,2584,911.29
115.156.143.20,121.194.11.73,6,53714,443,1560,1520.261
112.83.140.14,183.95.73.54,6,443,46352,1418,1037.211
119.97.181.246,183.94.22.79,6,80,5715,12004,3070.612
119.45.2.92,183.94.22.81,17,443,53035,6532,578.188
218.106.117.236,113.56.189.79,6,6493,443,1983,16.054
210.42.68.5,115.156.143.149,6,80,53601,175596,1438.209
222.192.187.241,115.156.141.46,6,80,54971,43744,1074.609
223.166.94.27,183.94.22.56,17,53650,36253,9513,11.278
27.19.165.247,183.94.22.19,6,57473,40794,44810,67.622
111.85.58.16,218.106.117.233,6,20157,34506,8592,239.965
115.156.143.111,183.240.210.94,6,59799,20005,2843,1263.067
58.20.209.161,183.95.73.94,6,80,48320,3028,25.416
124.225.78.22,115.156.143.254,6,20557,53048,1038,1665.584
210.42.68.3,211.67.21.122,6,80,62852,123917,6175.884
156.238.204.69,115.156.143.249,6,443,52092,9084,91.648
183.95.73.99,123.125.103.221,6,41414,80,783862,2832.905
183.95.73.21,119.45.2.92,17,43742,443,4057,61.839
183.95.73.66,119.36.142.16,6,41020,443,1213,36.226
58.19.27.84,123.6.47.145,6,39635,80,1226,12.694
171.39.185.226,183.94.22.78,17,1127,50967,1524,50.788
58.19.27.69,123.234.3.223,6,3735,443,2942,4800.646
218.106.117.236,60.221.174.8,17,7074,23163,182855,6186.743
218.106.117.236,61.240.206.11,6,34316,443,1578,171.785
58.252.251.94,115.156.144.67,17,35600,51162,1242,1534.918
39.136.148.202,115.156.141.165,6,443,57641,52492,5315.817
42.7.42.179,183.95.73.36,6,80,32531,1855,4.859
115.156.143.105,106.52.161.148,6,59539,443,1757,178.705
119.36.175.53,183.95.73.42,6,443,10658,267334,5081.658
115.156.143.77,117.122.209.130,6,53233,443,2292,75.372
58.19.27.92,122.190.168.228,6,50322,443,2845,284.707
115.156.142.68,124.237.176.160,6,39212,443,1022,107.508
115.156.144.159,222.192.187.176,17,36136,443,1816,486.44
58.19.27.10,60.28.193.60,6,57816,1500,1220,7683.727
61.241.178.237,183.95.73.20,6,443,47952,51079,97.907
106.117.245.82,115.156.141.77,6,80,55138,236324,7900.009
115.156.143.157,210.42.68.7,6,58475,80,8976,5705.273
8.153.109.248,115.156.142.95,6,443,56194,1933,113.118
119.36.140.226,183.95.73.60,6,443,60852,3493,113.56
122.205.109.41,115.156.143.193,6,80,7125,21229,2017.29
183.95.73.93,116.130.224.205,6,59450,8080,1035,57.839
222.192.187.254,115.156.143.33,6,443,34818,64209,1779.779
180.101.49.40,59.172.234.167,6,443,33248,3035,103.073
119.36.124.140,218.106.117.236,6,443,52954,5146,7249.535
115.156.144.54,183.236.59.88,6,43060,34506,2698,277.22
115.156.141.28,124.236.26.167,6,57971,80,8269,1782.12
103.45.72.238,183.95.73.72,6,80,43306,2074,112.29
123.126.99.164,183.94.22.27,6,443,35616,3436,73.102
61.241.55.63,183.94.22.86,17,8000,53336,1940,6145.209
119.36.175.53,183.94.22.49,6,443,39242,30611,169.794
222.192.187.253,115.156.141.76,17,443,47675,58392,1621.887
202.90.110.46,115.156.143.211,6,443,45688,9840,4423.96
124.70.116.55,183.95.73.90,6,443,35198,2328,4892.923
113.240.96.112,115.156.143.70,6,443,37350,3584,204.452
210.42.68.2,115.156.143.75,6,80,49874,60705,614.072
183.94.22.28,20.189.172.32,6,49508,443,1435,197.91
218.106.117.230,106.11.43.74,6,47726,443,1862,136.629
183.94.22.28,122.188.39.46,6,54938,80,1684,5939.072
58.19.27.18,123.125.107.20,6,33526,8081,4962,6806.392
122.193.7.247,183.95.73.46,6,443,60297,1218,45.903
171.35.57.253,183.94.22.31,17,50749,19833,43899,11307.262
115.156.158.84,43.137.208.115,17,35821,80,1386,171.023
115.156.143.254,43.141.9.179,6,42728,443,7956,217.513
222.20.32.238,124.236.26.166,6,51500,443,1661,341.449
222.20.107.10,59.82.43.241,6,36146,443,1554,53.762
218.106.117.236,203.119.204.12,6,54357,443,7382,967.711
115.156.142.235,121.228.177.115,6,58519,443,1592,160.752
115.156.144.165,182.61.200.56,6,46840,443,6084,67.991
210.42.68.11,115.156.142.58,6,80,33476,394848,48.214
112.132.119.74,218.106.117.236,17,443,49816,3968,18.991
58.48.32.154,115.156.143.155,6,9090,56757,1634,121.738
61.241.178.237,183.95.73.76,6,443,50779,53251,16.79
119.29.29.94,115.156.144.233,6,80,51462,1809,1289.136
112.19.142.236,115.156.142.4,6,443,52474,2375,321.674
183.94.22.100,123.125.107.20,6,56224,8081,4457,2192.596
115.156.141.175,52.182.143.209,6,40824,443,4286,592.077
113.142.189.119,183.94.22.25,6,19000,2789,1855562,11795.824
121.194.10.212,115.156.141.134,6,80,5924,2378,678.109
58.205.220.12,218.197.231.30,6,80,58397,3297,5.048
153.3.244.48,218.106.117.236,6,14000,57136,2474,3439.105
58.19.27.38,157.255.4.54,6,6203,443,1170,346.783
183.95.73.65,42.56.77.129,6,61660,443,1234,133.649
113.56.147.82,183.95.73.78,6,443,42262,5889,88.627
113.56.147.12,183.95.73.50,6,443,50351,1785,90.585
115.156.144.108,222.192.187.254,17,50990,1106,2244,1519.017
69.234.206.194,115.156.141.18,6,443,51611,1838,116.091
183.95.73.94,123.122.26.217,17,8567,4093,26543,487.425
60.221.73.226,218.106.117.236,6,443,49466,24137,134.142
20.24.249.45,115.156.141.89,6,443,3600,11208,262.13
183.95.73.98,183.92.10.128,17,27284,62262,13608,147.521
49.4.17.47,115.156.143.92,6,443,57444,2135,24.633
36.249.57.2,218.106.117.236,17,63389,61789,209619,2077.992
111.48.138.111,183.94.22.60,6,443,52439,4772,1114.16
119.36.175.53,183.94.22.29,6,443,60947,4550,26.629
114.250.52.173,183.95.73.84,6,443,40592,3941,51.441
210.42.68.9,115.156.143.13,6,80,47416,13416,13.714
58.48.49.132,202.114.0.250,6,53896,443,1680,7403.606
49.4.42.251,115.156.142.95,6,443,59386,1855,62.859
20.201.214.0,115.156.142.107,6,443,5797,3370,648.749
115.156.143.8,175.27.48.149,17,59033,31557,7210,12656.339
153.37.7.108,183.95.73.74,6,443,55067,19682,2402.235
112.31.204.69,115.156.141.224,6,19457,54934,31794,172.185
115.156.144.163,210.42.68.14,6,48400,80,1980,66.522
58.205.220.24,115.156.143.41,6,443,44734,1530,3.874
111.202.28.87,183.95.73.96,6,443,57430,1931,53.057
115.156.142.142,146.56.253.239,6,57664,443,22949,1470.71
113.137.57.2,115.156.141.144,6,443,51500,78926,1532.667
121.194.11.72,115.156.143.49,6,443,38210,77770,1419.413
101.34.191.138,115.156.142.133,6,443,46212,2555,2054.3
218.106.117.229,153.3.238.242,6,45176,443,2659,2.009
162.159.142.99,222.20.78.147,6,443,38108,55794496,15227.246
123.6.116.42,183.94.22.39,6,80,51994,49983,1660.665
59.82.122.61,115.156.144.97,6,443,50621,4845,34.334
117.187.39.38,183.94.22.96,6,443,40598,1626,383.461
183.95.73.60,123.234.3.226,6,45770,443,2276,1625.852
171.36.28.161,183.95.73.70,6,37930,60532,608313,427.192
183.95.73.77,58.243.203.41,6,51567,443,1218,39.159
211.67.27.129,175.27.6.19,17,44910,443,3123,152.974
115.156.141.173,43.142.215.95,6,53418,443,2353,7536.347
115.156.143.176,58.205.218.54,6,52395,443,2097,5512.1
115.156.144.249,43.137.214.108,6,60003,80,1102,115.41
116.205.2.136,115.156.141.106,6,443,56882,1374,201.465
119.97.181.245,183.95.73.29,6,80,51025,7089,1021.537
13.226.65.183,115.156.143.81,6,443,47574,68204,391.719
218.106.117.236,116.153.46.36,6,54616,443,1092,531.285
222.20.69.140,210.42.68.7,6,49680,443,12397,3063.178
205.215.29.85,115.156.128.2,6,10080,52944,6757,955.731
183.95.73.33,123.129.227.59,6,41570,443,2254,734.194
119.45.249.52,183.94.22.13,6,443,33546,8309,3813.388
119.36.34.175,218.106.117.236,6,80,35278,86657,1070.832
222.192.187.245,115.156.142.127,6,443,46242,19520,19.915
115.156.141.205,117.190.80.31,6,53527,80,3048,207.309
111.172.236.83,115.156.142.81,6,80,6152,67585,1917.167
163.177.30.104,218.106.117.236,17,8000,54186,2214,9000.745
210.42.68.7,115.156.144.195,6,80,53915,151241,879.552
111.48.236.23,183.95.73.37,6,8090,36679,819100,1976.457
183.95.73.31,123.125.103.221,6,41828,443,2101,125.84
183.94.22.17,157.255.219.32,6,59694,443,1693,57.599
115.156.143.99,175.24.251.180,6,58327,443,1824,1963.87
222.20.75.235,20.198.162.76,6,42166,443,1131,448.422
61.240.206.13,218.106.117.236,6,443,46586,16304,2101.721
115.156.143.230,202.90.110.15,6,36008,443,1155,237.048
119.36.225.52,183.95.73.91,6,80,18030,36684,513.973
115.156.141.127,81.69.116.86,17,37782,443,4489,144.657
113.240.75.249,115.156.143.202,6,443,5661,2525,148.892
115.156.142.180,58.205.214.157,6,56954,80,1141,89.439
210.42.68.2,115.156.141.15,6,443,53657,44620,4910.84
106.55.91.119,115.156.142.160,6,443,52047,3007,46.064
27.44.121.167,218.106.117.236,6,443,54402,4232,33.264
115.156.141.7,52.231.230.148,6,51562,443,4482,604.428
58.144.195.60,183.95.73.35,6,443,42086,13219,81.456
115.156.141.230,157.254.20.4,6,14224,443,3605,658.777
115.156.142.252,40.126.35.21,6,49395,443,3394,212.614
116.176.99.204,183.95.73.95,17,15505,59008,90068,2111.945
8.222.131.240,115.156.143.144,6,443,50390,1756,1620.66
115.156.142.240,101.50.8.111,6,47928,443,2104,1612.442
210.42.68.13,115.156.141.56,6,80,40554,239551,4676.412
115.156.142.88,43.137.191.78,6,51456,80,1240,144.13
211.91.233.18,183.94.22.69,6,443,56830,1446,41.245
183.95.73.21,157.0.146.48,17,48134,4040,2325,2213.996
1.56.98.101,183.95.73.98,6,443,56623,3234,103.931
115.156.141.25,112.19.142.240,6,57760,443,25014,1066.953
183.94.22.70,119.36.225.52,6,49822,443,1590,191.283
81.69.116.86,115.156.142.11,17,443,57421,12965,1523.163
210.42.68.5,115.156.141.234,6,80,48430,15098,2.115
119.36.225.129,183.94.22.48,6,80,37168,57078,275.203
111.193.137.53,218.106.117.236,17,18010,53738,1820269,4316.291
115.156.143.184,122.189.220.164,6,57911,443,4602,106.663
218.106.117.236,120.228.110.74,17,61170,25788,84828,2866.431
